entloss,optimgain,EpisodesSoFar,ev_tdlam_before,surrgain,EpRewMean,EpLenMean,meankl,TimeElapsed,entropy,TimestepsSoFar,EpThisIter
,0.000932083,111828,-0.0502469539642,0.000932083,1.35,70.025,0.000575763,23104.478631734848,0.0118111,9870326,10
,0.00315541,111833,-0.0178146362305,0.00315541,1.475,75.175,0.00084409,23105.690372943878,0.00356451,9870736,5
,0.00168306,111845,0.122025549412,0.00168306,1.3,67.825,0.000652084,23106.933652162552,0.00745017,9871314,12
,0.000791818,111849,0.0336165428162,0.000791818,1.375,70.0,0.00132317,23108.136690616608,0.0135942,9871870,4
,0.00663815,111852,0.00479304790497,0.00663815,1.5,75.45,0.000995197,23109.336864948273,0.0194782,9872269,3
,0.00336503,111865,0.30610460043,0.00336503,1.1,65.05,0.00105011,23110.60441827774,0.0139666,9872724,13
,0.0049824,111876,0.142332553864,0.0049824,1.0,60.8,0.000932173,23111.833851337433,0.0215156,9873397,11
,0.00245983,111888,-0.0101336240768,0.00245983,0.775,52.075,0.00048487,23113.075619220734,0.00640866,9873876,12
,0.0076844,111897,0.187800109386,0.0076844,0.75,47.1,0.000935874,23114.32608628273,0.0166598,9874424,9
,0.00239597,111906,-0.145085811615,0.00239597,0.775,49.275,0.000870322,23115.575233459473,0.0140063,9874905,9
,0.00471759,111912,0.014099419117,0.00471759,0.925,53.125,0.00141286,23116.80912709236,0.0107256,9875402,6
,0.00392946,111920,0.108343958855,0.00392946,1.025,57.3,0.000384465,23118.059467554092,0.0187591,9875895,8
,0.00187156,111924,0.0555337071419,0.00187156,1.325,68.65,0.000486892,23119.26918411255,0.0205535,9876441,4
,0.00469182,111927,-0.0138033628464,0.00469182,1.6,78.6,0.000672748,23120.479786157608,0.0215904,9876966,3
,0.00639163,111940,0.294573187828,0.00639163,1.375,72.6,0.000795003,23121.733298301697,0.0142324,9877501,13
,9.79528e-05,111946,0.178699314594,9.79528e-05,1.45,75.125,0.000983972,23122.955033779144,0.00409201,9877910,6
,0.00371939,111951,0.0980463624001,0.00371939,1.475,77.55,0.000556493,23124.176531791687,0.0251292,9878481,5
,0.00169436,111957,0.167291402817,0.00169436,1.65,81.475,0.00112924,23125.394730567932,0.019291,9879001,6
,0.00233587,111965,-0.0535507202148,0.00233587,1.425,72.95,0.000901633,23126.61179614067,0.00643873,9879517,8
,0.00153861,111972,0.13657027483,0.00153861,1.275,64.875,0.000502972,23127.852885246277,0.0199345,9879912,7
,0.00541739,111976,0.121015012264,0.00541739,1.525,74.75,0.00116769,23129.084562540054,0.0138976,9880399,4
,0.00226622,111980,0.14407324791,0.00226622,1.775,85.1,0.000478138,23130.291352272034,0.018026,9880905,4
,0.00207679,111984,0.0300186276436,0.00207679,2.05,96.175,0.000811241,23131.494065999985,0.0317147,9881561,4
,0.00638102,111987,0.0883394479752,0.00638102,2.05,96.975,0.000454355,23132.710596561432,0.0129853,9882004,3
,0.00084383,111991,0.0984705090523,0.00084383,2.125,99.15,0.00107812,23133.903766155243,0.0118865,9882447,4
,0.00447001,112001,0.136482715607,0.00447001,1.9,94.35,0.00133436,23135.168803453445,0.0141577,9883085,10
,0.00145056,112011,0.327816188335,0.00145056,1.8,91.7,0.00104719,23136.42116498947,0.00441896,9883557,10
,0.00187035,112020,0.240849733353,0.00187035,1.55,80.9,0.000459436,23137.6631360054,0.0169162,9884141,9
,0.00122309,112035,0.0579141974449,0.00122309,0.6,42.725,0.00108455,23138.953827381134,0.00210259,9884628,15
,0.00307424,112041,0.167660057545,0.00307424,0.875,50.25,0.000882398,23140.20364189148,0.0146765,9885095,6
,0.00265882,112045,0.09653455019,0.00265882,1.0,58.15,0.000856184,23141.414766073227,0.0249232,9885617,4
,0.00241224,112048,0.0907837152481,0.00241224,1.3,68.55,0.000613427,23142.618616342545,0.0285494,9886102,3
,0.00307143,112063,0.112799704075,0.00307143,1.075,60.425,0.000647317,23143.89790201187,0.00880319,9886716,15
,0.00498153,112067,0.166159391403,0.00498153,1.225,66.025,0.000690145,23145.096883773804,0.00710008,9887085,4
,0.00349455,112071,0.0914025902748,0.00349455,1.475,76.125,0.00103223,23146.3148727417,0.0120705,9887581,4
,0.00305056,112077,0.140931963921,0.00305056,1.775,87.35,0.000996082,23147.547971010208,0.0126841,9888226,6
,0.00118208,112090,0.112776994705,0.00118208,1.125,61.9,0.000382516,23148.810610294342,0.00537505,9888751,13
,0.00190215,112097,0.297352969646,0.00190215,1.225,65.9,0.000452218,23150.03660583496,0.0102503,9889214,7
,0.00377766,112101,0.0540146827698,0.00377766,1.45,73.725,0.000483366,23151.25824570656,0.017381,9889619,4
,0.00100795,112106,0.095781981945,0.00100795,1.7,84.075,0.000799527,23152.47811436653,0.0106287,9890276,5
,0.00247405,112112,0.102393388748,0.00247405,1.475,75.675,0.000478327,23153.6954870224,0.00601411,9890803,6
,0.00219265,112117,0.141890466213,0.00219265,1.55,76.95,0.00140915,23154.9207572937,0.00870271,9891304,5
,0.00189073,112125,0.0930765867233,0.00189073,1.725,83.0,0.000909018,23156.18719124794,0.0144999,9891814,8
,0.00699778,112129,0.0858460068703,0.00699778,1.925,90.6,0.000988143,23157.37088084221,0.016456,9892331,4
,0.00207543,112135,0.17493057251,0.00207543,2.175,99.725,0.000855523,23158.605162143707,0.0188144,9892855,6
,0.00115535,112138,0.0551298260689,0.00115535,2.15,99.7,0.000530218,23159.826328516006,0.0179632,9893358,3
,0.0055559,112142,0.176836967468,0.0055559,2.175,100.325,0.000459861,23161.052389860153,0.0144509,9893847,4
,0.00205128,112150,0.189100980759,0.00205128,1.925,89.3,0.00122494,23162.28786754608,0.00999451,9894271,8
,0.00219158,112154,0.0585785508156,0.00219158,2.175,98.425,0.00041357,23163.517758846283,0.0151248,9894849,4
,0.00267462,112168,0.293219387531,0.00267462,1.575,77.475,0.000582344,23164.766586780548,0.0142664,9895407,14
,0.00145479,112180,0.19947218895,0.00145479,1.125,59.125,0.000681524,23166.033052444458,0.00487713,9895878,12
,0.000818522,112183,-0.0257918834686,0.000818522,1.125,59.1,0.000686891,23167.229805231094,0.00567636,9896332,3
,0.0028494,112186,-0.00154447555542,0.0028494,1.375,67.875,0.00124313,23168.442918539047,0.00767568,9896780,3
,0.0024387,112190,0.113184213638,0.0024387,1.6,76.575,0.000773432,23169.683214187622,0.017908,9897334,4
,0.00348609,112195,0.111229300499,0.00348609,1.45,72.725,0.000993874,23170.892332792282,0.0206551,9897928,5
,0.00465093,112199,-0.00936317443848,0.00465093,1.675,81.65,0.000488618,23172.09978747368,0.0230111,9898377,4
