nupdates,policy_loss,explained_variance,total_timesteps,fps,policy_entropy,value_loss
24,-0.23756268620491028,0.0044855475425720215,15360,1887,1.78066086769104,0.09344566613435745
25,-0.11192541569471359,0.006858766078948975,16000,1898,1.7817838191986084,0.08310156315565109
26,0.047250308096408844,0.004679977893829346,16640,1907,1.7828130722045898,0.0841614380478859
27,-0.006228100508451462,0.01138770580291748,17280,1916,1.78079354763031,0.07536481320858002
28,0.06344088912010193,0.0034366846084594727,17920,1926,1.7815452814102173,0.07169044017791748
29,-0.022000301629304886,0.004351139068603516,18560,1935,1.778040885925293,0.07563308626413345
30,-0.02211037650704384,0.004439651966094971,19200,1944,1.7675777673721313,0.10201479494571686
31,0.09400215744972229,0.0022519826889038086,19840,1933,1.7580045461654663,0.0675804540514946
32,-0.12497254461050034,0.010683059692382812,20480,1937,1.7467963695526123,0.08660396933555603
33,0.04273533448576927,-0.0007622241973876953,21120,1942,1.7287734746932983,0.0709289163351059
34,-0.04090137034654617,0.013360738754272461,21760,1947,1.7165555953979492,0.09208407253026962
35,-0.06605222821235657,-0.0018033981323242188,22400,1953,1.6798804998397827,0.07770644128322601
36,0.15344275534152985,0.008763790130615234,23040,1959,1.631464958190918,0.051269471645355225
37,0.07615509629249573,-0.0034694671630859375,23680,1965,1.5906721353530884,0.08536973595619202
38,0.15221306681632996,0.0027726292610168457,24320,1968,1.5630441904067993,0.0784655287861824
39,-0.05584732070565224,0.007752954959869385,24960,1970,1.5484038591384888,0.09852299839258194
40,-0.16402246057987213,0.009138882160186768,25600,1974,1.5383741855621338,0.08274310827255249
41,0.09829000383615494,-0.00568997859954834,26240,1963,1.5202401876449585,0.06101391464471817
42,-0.07259494066238403,0.005810976028442383,26880,1966,1.4976367950439453,0.062174100428819656
43,0.18059076368808746,-0.0025718212127685547,27520,1967,1.4561957120895386,0.03405075520277023
44,-0.26063990592956543,0.00858461856842041,28160,1969,1.4114669561386108,0.09737644344568253
45,-0.1447950303554535,0.005306839942932129,28800,1973,1.3729627132415771,0.0731167197227478
46,-0.17326226830482483,0.003421962261199951,29440,1978,1.357839584350586,0.07859350740909576
47,-0.11049441993236542,0.005848050117492676,30080,1979,1.3522608280181885,0.07509374618530273
48,-0.030419187620282173,0.012483716011047363,30720,1979,1.3681596517562866,0.07148247212171555
