entloss,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,optimgain,TimestepsSoFar,entropy,surrgain
,131862,0.0014479,0.0992796421051,1.45,81.0,18811.783116340637,9,0.00225428,8035314,0.00269784,0.00225428
,131871,0.00200396,0.155422985554,1.4,77.725,18813.011034727097,9,0.00435457,8035818,0.00143069,0.00435457
,131881,0.000199476,0.19061923027,1.15,66.975,18814.265607357025,10,0.000121891,8036194,0.00082211,0.000121891
,131896,0.000199476,0.206654310226,0.575,45.1,18815.472868442535,15,0.000121891,8036831,0.00082211,0.000121891
,131901,0.000953643,0.0727002620697,0.65,48.725,18816.711293935776,5,0.00156736,8037240,0.00166006,0.00156736
,131909,0.000346574,-0.0114488601685,0.75,52.45,18817.959114074707,8,0.000597922,8037870,0.00267256,0.000597922
,131921,0.00116305,0.28881072998,0.75,52.5,18819.20579099655,12,0.001853,8038294,0.00109642,0.001853
,131925,0.000851836,-0.021018743515,0.95,60.075,18820.418501377106,4,8.20309e-05,8038835,0.00163914,8.20309e-05
,131935,0.00126428,0.169728696346,1.125,67.375,18821.637425899506,10,0.0011692,8039357,0.00134784,0.0011692
,131940,0.00101801,-0.00905334949493,1.2,70.775,18822.865843057632,5,0.0026345,8039900,0.00818793,0.0026345
,131945,0.00118937,-0.0365253686905,1.2,70.775,18824.055895090103,5,0.00184793,8040312,0.00200829,0.00184793
,131960,0.000217146,0.212877035141,1.175,70.65,18825.258219480515,15,0.000601329,8040949,0.00133948,0.000601329
,131963,0.000604983,-0.0897810459137,1.175,70.65,18826.461005210876,3,0.0030838,8041367,0.000685206,0.0030838
,131967,0.00103647,-0.0740178823471,1.15,70.05,18827.688344717026,4,0.00264538,8041975,0.00636544,0.00264538
,131971,0.00095948,0.07209867239,1.325,77.1,18828.904179811478,4,0.00294677,8042349,0.00310424,0.00294677
,131993,7.38293e-06,-2.46925544739,0.775,55.325,18830.195169448853,22,1.26362e-05,8043001,4.85266e-05,1.26362e-05
,132002,0.00101592,0.357808530331,0.75,55.2,18831.394238471985,9,0.00269996,8043500,0.00130485,0.00269996
,132006,0.00120511,0.115830779076,0.675,51.75,18832.602523088455,4,0.00150708,8043876,0.00138691,0.00150708
