total_timesteps,explained_variance,policy_entropy,fps,nupdates,value_loss
2336000,0.8888396471738815,1.2405922412872314,1319,29200,0.01326626818627119
2344000,0.6519614458084106,1.1583259105682373,1319,29300,0.02668904885649681
2352000,0.8071998059749603,1.1109050512313843,1319,29400,0.012841550633311272
2360000,0.6035248339176178,1.241133451461792,1319,29500,0.04040227085351944
2368000,0.9370593950152397,1.2173206806182861,1319,29600,0.007836790755391121
2376000,0.8363041877746582,1.2772445678710938,1320,29700,0.009116781875491142
2384000,0.8256297707557678,1.2364128828048706,1320,29800,0.012965020723640919
2392000,0.8996688574552536,1.2146894931793213,1320,29900,0.015563031658530235
2400000,0.889882005751133,1.1923551559448242,1320,30000,0.008848356083035469
2408000,0.8460587412118912,1.1913657188415527,1320,30100,0.012439151294529438
2416000,0.6855432689189911,1.1883395910263062,1320,30200,0.019637126475572586
2424000,0.8045663237571716,1.1836293935775757,1320,30300,0.014781614765524864
2432000,0.862562283873558,1.2437759637832642,1320,30400,0.014008605852723122
2440000,0.7825321108102798,1.2184401750564575,1320,30500,0.024831343442201614
2448000,0.9141448363661766,1.246139645576477,1320,30600,0.009761286899447441
2456000,0.7054860293865204,1.2283203601837158,1321,30700,0.02717309258878231
2464000,0.6561508774757385,1.2377378940582275,1321,30800,0.03841998055577278
2472000,0.8160786479711533,1.148849606513977,1321,30900,0.021000662818551064
2480000,0.9421019479632378,1.1414331197738647,1321,31000,0.004057597368955612
2488000,0.9160851761698723,1.2176350355148315,1321,31100,0.005732250865548849
2496000,0.686927318572998,1.1348212957382202,1321,31200,0.02353949472308159
2504000,0.776316300034523,1.2101240158081055,1321,31300,0.03572262078523636
2512000,0.853941485285759,1.0904735326766968,1321,31400,0.012807628139853477
2520000,0.8981187343597412,1.2293026447296143,1321,31500,0.01478866022080183
2528000,0.8261629641056061,1.1686420440673828,1321,31600,0.02307027578353882
2536000,0.8302163481712341,1.1514145135879517,1322,31700,0.026704182848334312
2544000,0.7959533333778381,1.1998517513275146,1322,31800,0.022059667855501175
2552000,0.75801020860672,1.2841882705688477,1322,31900,0.016991229727864265
2560000,0.7048913538455963,1.2624763250350952,1322,32000,0.023286456242203712
2568000,0.7046897113323212,1.2382322549819946,1322,32100,0.039081424474716187
2576000,0.882007285952568,1.1280038356781006,1322,32200,0.012316148728132248
2584000,0.8784897774457932,1.26752769947052,1322,32300,0.013367442414164543
2592000,0.834470346570015,1.2602102756500244,1322,32400,0.02590022422373295
2600000,0.6181687712669373,1.1728994846343994,1322,32500,0.025125309824943542
2608000,0.7056469023227692,1.2552655935287476,1322,32600,0.04992801696062088
2616000,0.7971967607736588,1.18831467628479,1323,32700,0.025516685098409653
2624000,0.6069115400314331,1.2467867136001587,1323,32800,0.02028137817978859
2632000,0.9029388427734375,1.094480276107788,1323,32900,0.006147454492747784
2640000,0.7539106905460358,1.1586990356445312,1323,33000,0.02116299793124199
2648000,0.8819374218583107,1.1403858661651611,1323,33100,0.014686916954815388
2656000,0.8442578613758087,1.1560478210449219,1323,33200,0.011024437844753265
2664000,0.8171306550502777,1.0785109996795654,1323,33300,0.025928974151611328
2672000,0.5767750144004822,1.100557565689087,1323,33400,0.030873123556375504
2680000,0.8083969503641129,1.239078164100647,1324,33500,0.02623015083372593
2688000,0.8485859036445618,1.2267714738845825,1324,33600,0.02662266232073307
2696000,0.9165148213505745,1.1592437028884888,1324,33700,0.011068614199757576
2704000,0.6938996911048889,1.1145957708358765,1324,33800,0.03522526100277901
2712000,0.8463142961263657,1.200458288192749,1324,33900,0.015603223815560341
2720000,0.4757832884788513,1.115988850593567,1324,34000,0.05319598317146301
2728000,0.7726923823356628,1.1817638874053955,1324,34100,0.052100103348493576
