EpThisIter,optimgain,entloss,surrgain,TimeElapsed,TimestepsSoFar,meankl,EpisodesSoFar,ev_tdlam_before,entropy,EpLenMean,EpRewMean
,0.00852956,,0.00852956,99.30006837844849,47521,0.000556131,52,0.000413656234741,1.74435,906.75,-20.3
1,0.00602799,,0.00602799,100.37851023674011,48360,0.000377752,53,0.000555098056793,1.75112,906.775,-20.3
,0.00489521,,0.00489521,101.43426156044006,48360,0.000244933,53,0.00681275129318,1.74941,906.775,-20.3
1,0.00437654,,0.00437654,102.52272319793701,49198,0.00104658,54,-0.000407218933105,1.7474,904.475,-20.325
,0.0112091,,0.0112091,103.59583306312561,49198,0.00147962,54,0.00098592042923,1.7536,904.475,-20.325
1,0.0152692,,0.0152692,104.66934442520142,50312,0.00120897,55,0.00225251913071,1.74291,911.425,-20.325
,0.0134109,,0.0134109,105.7144501209259,50312,0.00104738,55,0.00432193279266,1.73709,911.425,-20.325
1,0.00516355,,0.00516355,106.78467416763306,51212,0.000345058,56,0.00343787670135,1.7578,914.55,-20.3
1,0.0122378,,0.0122378,107.86333155632019,52141,0.00104322,57,-3.92198562622e-05,1.748,910.65,-20.325
,0.0105095,,0.0105095,108.92799258232117,52141,0.000721944,57,0.000759422779083,1.7405,910.65,-20.325
1,0.0147511,,0.0147511,109.98415350914001,53189,0.0011423,58,0.00244224071503,1.72379,915.425,-20.325
,0.00955652,,0.00955652,111.05275273323059,53189,0.00102756,58,0.000887751579285,1.74049,915.425,-20.325
1,0.0117844,,0.0117844,112.1307544708252,54098,0.000992744,59,-0.000601768493652,1.73592,915.875,-20.35
,0.011607,,0.011607,113.19272685050964,54098,0.000937173,59,0.00376230478287,1.74104,915.875,-20.35
1,0.0125366,,0.0125366,114.26276469230652,54996,0.000954438,60,0.00300914049149,1.73449,915.975,-20.375
,0.0194483,,0.0194483,115.29419803619385,54996,0.000982459,60,-0.00221729278564,1.73854,915.975,-20.375
1,0.0126052,,0.0126052,116.35803484916687,55923,0.00100411,61,0.00325697660446,1.74274,916.775,-20.35
,0.0150407,,0.0150407,117.39952564239502,55923,0.00105127,61,-9.17911529541e-05,1.7305,916.775,-20.35
1,0.012175,,0.012175,118.47166466712952,56990,0.000962692,62,-0.000327229499817,1.74916,919.575,-20.325
,0.00824417,,0.00824417,119.54964399337769,56990,0.00076312,62,0.00240099430084,1.74504,919.575,-20.325
1,0.0132189,,0.0132189,120.60471630096436,58084,0.000998619,63,-0.00230324268341,1.75056,919.85,-20.325
,0.0161897,,0.0161897,121.66145944595337,58084,0.00116874,63,0.000991582870483,1.75106,919.85,-20.325
1,0.0118431,,0.0118431,122.6954402923584,59067,0.000966654,64,-0.00118291378021,1.74379,924.0,-20.3
,0.0146674,,0.0146674,123.74286222457886,59067,0.000884011,64,0.00238937139511,1.74576,924.0,-20.3
1,0.0151032,,0.0151032,124.81170010566711,59968,0.0010904,65,0.00202751159668,1.74506,922.925,-20.3
,0.0150373,,0.0150373,125.87491607666016,59968,0.00115932,65,3.42130661011e-05,1.71801,922.925,-20.3
1,0.0147696,,0.0147696,126.96652102470398,60971,0.00109917,66,0.000196576118469,1.72764,924.7,-20.275
1,0.0152485,,0.0152485,128.03518342971802,61747,0.00110909,67,-0.00132536888123,1.72814,922.775,-20.3
,0.0155399,,0.0155399,129.07035398483276,61747,0.00115923,67,0.00198775529861,1.73712,922.775,-20.3
1,0.0137008,,0.0137008,130.14036774635315,62777,0.00114329,68,-0.00137662887573,1.71831,927.95,-20.25
,0.0143936,,0.0143936,131.2141137123108,62777,0.00115515,68,0.00501984357834,1.70059,927.95,-20.25
1,0.0140701,,0.0140701,132.29506850242615,63617,0.00100918,69,3.11732292175e-05,1.73313,926.15,-20.275
1,0.0109038,,0.0109038,133.3699553012848,64437,0.00108087,70,0.00204181671143,1.72129,924.2,-20.3
,0.0124043,,0.0124043,134.43191599845886,64437,0.000923874,70,0.00263983011246,1.70831,924.2,-20.3
,0.0154668,,0.0154668,135.49021220207214,64437,0.00108076,70,-0.00247752666473,1.68195,924.2,-20.3
1,0.0142086,,0.0142086,136.57700085639954,65611,0.00104043,71,0.000948905944824,1.70889,930.425,-20.275
1,0.0140765,,0.0140765,137.6586627960205,66488,0.00104146,72,-0.000126481056213,1.69879,931.475,-20.3
,0.0134965,,0.0134965,138.73962330818176,66488,0.000970952,72,-0.00217711925507,1.71303,931.475,-20.3
1,0.0150481,,0.0150481,139.8053596019745,67308,0.00111839,73,0.000814020633698,1.71066,927.45,-20.325
,0.0159513,,0.0159513,140.87359476089478,67308,0.00102374,73,0.0033774971962,1.73039,927.45,-20.325
1,0.0218084,,0.0218084,141.94967436790466,68142,0.00137805,74,1.26957893372e-05,1.73118,924.825,-20.325
1,0.0172902,,0.0172902,143.02127027511597,68978,0.00100764,75,0.00214380025864,1.71763,925.35,-20.3
,0.019499,,0.019499,144.07861304283142,68978,0.00108935,75,0.00282317399979,1.72107,925.35,-20.3
1,0.0147025,,0.0147025,145.1650412082672,69894,0.00114011,76,0.00181120634079,1.70291,923.15,-20.3
,0.0162326,,0.0162326,146.2514672279358,69894,0.00113501,76,0.00373792648315,1.68516,923.15,-20.3
1,0.0143342,,0.0143342,147.32551264762878,70911,0.00121036,77,-0.000616788864136,1.69051,926.125,-20.3
,0.0141941,,0.0141941,148.39225482940674,70911,0.000985018,77,0.00270169973373,1.68582,926.125,-20.3
1,0.0176309,,0.0176309,149.47545742988586,71778,0.000989204,78,-0.000340700149536,1.72273,927.4,-20.3
,0.0146,,0.0146,150.55851292610168,71778,0.00124901,78,0.000376403331757,1.71579,927.4,-20.3
1,0.00803403,,0.00803403,151.6419801712036,72814,0.000319863,79,0.000844478607178,1.70386,930.775,-20.3
,0.00870568,,0.00870568,152.7206470966339,72814,0.000291408,79,-0.00107383728027,1.68292,930.775,-20.3
1,0.016869,,0.016869,153.8275876045227,73851,0.000957304,80,-0.00173842906952,1.71134,933.7,-20.3
,0.0143796,,0.0143796,154.9142792224884,73851,0.0009143,80,-0.00377070903778,1.65565,933.7,-20.3
