entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,934.9,-20.125,49,0.00117885,0.0144072,,1.74628,-0.00260984897614,45729,0.0144072,96.88048267364502
,934.875,-20.15,50,0.00106569,0.0132703,1,1.72486,0.000326037406921,46623,0.0132703,97.95427370071411
,937.025,-20.15,51,0.00116193,0.0163642,1,1.73062,-0.0012321472168,47495,0.0163642,99.01632475852966
,937.025,-20.15,51,0.00127476,0.0157115,,1.72568,-0.00137376785278,47495,0.0157115,100.07906556129456
,927.975,-20.2,52,0.00126653,0.0183246,1,1.72869,0.000676512718201,48273,0.0183246,101.15678429603577
,927.975,-20.2,52,0.00128331,0.0195762,,1.70974,-0.00129759311676,48273,0.0195762,102.20900273323059
,926.275,-20.2,53,0.00105798,0.0146932,1,1.705,0.000857830047607,49245,0.0146932,103.25511622428894
,921.475,-20.225,54,0.0011187,0.0158825,1,1.71641,-0.00160777568817,50065,0.0158825,104.30902862548828
,921.475,-20.225,54,0.000926183,0.0153134,,1.72069,0.00242656469345,50065,0.0153134,105.36277270317078
,924.525,-20.2,55,0.00116536,0.0166888,1,1.70757,-0.00154256820679,51005,0.0166888,106.42365288734436
,924.525,-20.2,55,0.00110181,0.0163186,,1.7224,-0.00143337249756,51005,0.0163186,107.4806821346283
,929.075,-20.25,56,0.0010145,0.0150553,1,1.72167,0.000995695590973,52156,0.0150553,108.56193089485168
,929.075,-20.25,56,0.000869378,0.0146781,,1.69357,-0.00185132026672,52156,0.0146781,109.62890076637268
,931.275,-20.2,57,0.000859797,0.0159678,1,1.71342,-0.00191164016724,53151,0.0159678,110.71999454498291
,931.275,-20.2,57,0.00109936,0.0150083,,1.70579,-0.00514185428619,53151,0.0150083,111.75636744499207
,932.175,-20.175,58,0.00110675,0.0168534,1,1.70585,0.00177723169327,54142,0.0168534,112.82732677459717
,932.175,-20.175,58,0.00120446,0.0188238,,1.72386,-0.00094199180603,54142,0.0188238,113.9100182056427
,928.125,-20.2,59,0.00100725,0.0129448,1,1.69006,-0.00362384319305,55018,0.0129448,114.98998880386353
,928.125,-20.2,59,0.00105581,0.0138394,,1.67997,-0.00103890895844,55018,0.0138394,116.03658747673035
,929.6,-20.2,60,0.00102984,0.0121574,1,1.67914,-0.00284802913666,56113,0.0121574,117.12088751792908
,929.6,-20.2,60,0.00094929,0.0121426,,1.70518,0.000751256942749,56113,0.0121426,118.17596173286438
,929.65,-20.2,61,0.000994718,0.0125665,1,1.68793,-0.00341403484344,56930,0.0125665,119.22995042800903
,929.65,-20.2,61,0.00104376,0.0172364,,1.66638,-0.0020078420639,56930,0.0172364,120.27879476547241
,939.25,-20.1,62,0.000932245,0.0128658,1,1.68758,-0.00193107128143,58165,0.0128658,121.33063125610352
,939.25,-20.1,62,0.00100271,0.0137138,,1.70529,0.000683069229126,58165,0.0137138,122.38372254371643
,938.8,-20.125,63,0.00108566,0.0149068,1,1.69921,5.24520874023e-06,59221,0.0149068,123.4456398487091
,938.8,-20.125,63,0.00100932,0.0154297,,1.72026,0.00186806917191,59221,0.0154297,124.50211882591248
,936.975,-20.125,64,0.00110445,0.0140992,1,1.69051,4.50611114502e-05,60062,0.0140992,125.56333756446838
,936.975,-20.125,64,0.000938228,0.0139974,,1.69862,-0.00204527378082,60062,0.0139974,126.62921833992004
,933.55,-20.15,65,0.000924384,0.0130762,1,1.71501,-0.000566482543945,61004,0.0130762,127.72612237930298
,932.825,-20.15,66,0.00106212,0.0158657,1,1.69347,-0.00358009338379,61925,0.0158657,128.79483771324158
,932.825,-20.15,66,0.000948133,0.0140703,,1.66997,-0.00306284427643,61925,0.0140703,129.85425209999084
,926.225,-20.175,67,0.00103355,0.0134768,1,1.68026,-0.00713753700256,62780,0.0134768,130.93893837928772
,926.225,-20.175,67,0.00111512,0.0151804,,1.68451,-0.000551581382751,62780,0.0151804,132.00905919075012
,926.225,-20.175,67,0.00109939,0.0186552,,1.68979,0.00106233358383,62780,0.0186552,133.07716464996338
,937.9,-20.15,68,0.00095203,0.0139696,1,1.70397,-0.00190818309784,64172,0.0139696,134.15401339530945
,937.9,-20.15,68,0.00106594,0.0132,,1.68546,-0.000105142593384,64172,0.0132,135.21929264068604
,942.75,-20.125,69,0.00106812,0.0151027,1,1.68045,0.00254255533218,65184,0.0151027,136.264262676239
,940.8,-20.15,70,0.000960025,0.0105054,1,1.69636,0.00153607130051,66030,0.0105054,137.3182406425476
,940.8,-20.15,70,0.00101065,0.0142392,,1.70867,0.00131511688232,66030,0.0142392,138.38663625717163
,940.85,-20.15,71,0.00111398,0.013344,1,1.70649,-0.000262141227722,66849,0.013344,139.4714035987854
,940.85,-20.15,71,0.00107744,0.0139949,,1.70922,-0.00100195407867,66849,0.0139949,140.5349407196045
