nupdates,fps,value_loss,policy_entropy,explained_variance,total_timesteps
57500,1333,0.022078674286603928,1.012807846069336,0.4164682626724243,4600000
57600,1333,0.022577732801437378,1.015425205230713,0.7496701776981354,4608000
57700,1333,0.01585213467478752,0.906952977180481,0.7767254859209061,4616000
57800,1333,0.021752385422587395,0.9227359890937805,0.600296825170517,4624000
57900,1333,0.00725802406668663,0.980854332447052,0.9226594418287277,4632000
58000,1333,0.10863053798675537,0.9128697514533997,0.9880886301398277,4640000
58100,1333,0.012363242916762829,0.7968417406082153,0.7074496448040009,4648000
58200,1333,0.06787078082561493,1.0174258947372437,0.6705407798290253,4656000
58300,1334,0.07281380891799927,0.9552620649337769,0.7163231670856476,4664000
58400,1334,0.010388736613094807,1.045270323753357,0.7715446501970291,4672000
58500,1334,0.01901484839618206,1.0097582340240479,0.5744880437850952,4680000
58600,1334,0.05174931138753891,0.9703654050827026,0.6747058033943176,4688000
58700,1334,0.009925777092576027,1.026179313659668,0.7900080680847168,4696000
58800,1334,0.015081770718097687,1.0234992504119873,0.6818677484989166,4704000
58900,1334,0.016961898654699326,0.9644672274589539,0.6677196323871613,4712000
59000,1334,0.10488847643136978,0.9408877491950989,0.3797483444213867,4720000
59100,1334,0.02531575784087181,0.9934976696968079,0.6157695055007935,4728000
59200,1334,0.03588894009590149,0.9424034357070923,0.5056073665618896,4736000
59300,1334,0.09982632100582123,1.0524685382843018,0.5247433483600616,4744000
59400,1334,0.0072873905301094055,1.1005088090896606,0.9009484052658081,4752000
59500,1334,0.010596884414553642,0.9904868006706238,0.8832503110170364,4760000
59600,1335,0.024966076016426086,0.9262049794197083,0.8292879611253738,4768000
59700,1335,0.010758854448795319,0.9596742391586304,0.849749967455864,4776000
59800,1335,0.008619814179837704,0.9695883989334106,0.8236351609230042,4784000
59900,1335,0.017177151516079903,1.0551201105117798,0.7255668342113495,4792000
60000,1335,0.018357040360569954,1.0264103412628174,0.6272486448287964,4800000
60100,1335,0.010209997184574604,0.9003397822380066,0.8581238389015198,4808000
60200,1335,0.008636676706373692,0.9769265055656433,0.9320207163691521,4816000
60300,1335,0.012439720332622528,1.0786969661712646,0.7723126262426376,4824000
60400,1335,0.10738074779510498,0.9645557403564453,0.658420741558075,4832000
60500,1335,0.012833431363105774,0.9790548086166382,0.7943135499954224,4840000
60600,1335,0.010823310352861881,0.9877951741218567,0.8249546438455582,4848000
60700,1335,0.12156139314174652,0.863082230091095,0.6840779781341553,4856000
60800,1336,0.11407037824392319,1.007920503616333,0.4747086763381958,4864000
60900,1336,0.015755722299218178,0.970172107219696,0.7217389941215515,4872000
61000,1336,0.0047059813514351845,1.0019781589508057,0.8877091109752655,4880000
61100,1336,0.013747239485383034,0.9519538879394531,0.7904121577739716,4888000
61200,1336,0.019779186695814133,0.9765956997871399,0.9460637457668781,4896000
61300,1336,0.00943075492978096,0.8307239413261414,0.8345818370580673,4904000
61400,1336,0.0066724009811878204,1.0181796550750732,0.8085239827632904,4912000
61500,1336,0.0775003507733345,0.9268315434455872,0.42711329460144043,4920000
61600,1336,0.11334297806024551,0.9860393404960632,0.5400493144989014,4928000
61700,1336,0.08209685236215591,0.9783170819282532,0.5325299203395844,4936000
61800,1336,0.012745986692607403,0.9230664372444153,0.9088237583637238,4944000
61900,1336,0.03786342218518257,0.9692336320877075,0.7440890073776245,4952000
62000,1336,0.15200605988502502,0.8184850811958313,0.9899887274950743,4960000
62100,1337,0.027207326143980026,0.9306526184082031,0.5870856046676636,4968000
62200,1337,0.011102613992989063,0.8977168798446655,0.7696014791727066,4976000
62300,1337,0.01271255873143673,0.9889678955078125,0.8583396971225739,4984000
62400,1337,0.054311878979206085,0.9333051443099976,0.4456250071525574,4992000
62500,1337,0.11464277654886246,0.9375879168510437,0.37201613187789917,5000000
62600,1337,0.016351446509361267,1.061537504196167,0.3837878704071045,5008000
62700,1337,0.0352005772292614,0.9821863174438477,0.774782344698906,5016000
62800,1337,0.012392425909638405,1.0547502040863037,0.8162344992160797,5024000
62900,1337,0.07811707258224487,0.9363129734992981,0.8151533454656601,5032000
63000,1337,0.03952670842409134,1.022038459777832,0.5626587271690369,5040000
63100,1337,0.10776598751544952,0.9952965974807739,0.4289252758026123,5048000
63200,1337,0.06739573925733566,1.0168789625167847,0.619398683309555,5056000
63300,1337,0.02167607843875885,0.9978623390197754,0.8391420692205429,5064000
63400,1338,0.04461551830172539,1.00734543800354,0.7091613709926605,5072000
63500,1338,0.024271365255117416,0.9376978874206543,0.8749713897705078,5080000
63600,1338,0.07872014492750168,1.0035191774368286,0.7323217689990997,5088000
63700,1338,0.015891727060079575,0.9613286256790161,0.7644758373498917,5096000
63800,1338,0.012910537421703339,0.9077932238578796,0.6572293341159821,5104000
63900,1338,0.10378898680210114,1.0737742185592651,0.6033775508403778,5112000
64000,1338,0.29359981417655945,0.3481593132019043,0.9886004235595465,5120000
64100,1338,0.020324507728219032,0.8853632211685181,0.4940493106842041,5128000
64200,1338,0.1065206527709961,1.0198739767074585,0.4909514784812927,5136000
64300,1338,0.015523627400398254,0.8976017236709595,0.8434077650308609,5144000
64400,1338,0.014477874152362347,0.9989420771598816,0.9257816821336746,5152000
64500,1338,0.02245880663394928,0.962923526763916,0.674113392829895,5160000
64600,1338,0.01859913021326065,0.8884048461914062,0.6246084868907928,5168000
64700,1338,0.06219096854329109,0.8997833132743835,0.6380575895309448,5176000
64800,1339,0.06964640319347382,0.9038149118423462,0.5211154818534851,5184000
64900,1339,0.06912017613649368,0.8903633952140808,0.9705363642424345,5192000
65000,1339,0.06297311931848526,0.8554263114929199,0.6068359613418579,5200000
65100,1339,0.015657175332307816,1.0421561002731323,0.7496822774410248,5208000
65200,1339,0.016105828806757927,0.9243157505989075,0.5449052453041077,5216000
65300,1339,0.022186648100614548,0.9807701110839844,0.855793222784996,5224000
65400,1339,0.00884659681469202,0.9339375495910645,0.8037809580564499,5232000
65500,1339,0.019831348210573196,0.9939733743667603,0.806470662355423,5240000
65600,1339,0.08188037574291229,0.9209020733833313,0.5067477524280548,5248000
65700,1339,0.15724602341651917,0.9232267141342163,0.45696789026260376,5256000
65800,1339,0.30735498666763306,0.9410604238510132,-0.11553800106048584,5264000
65900,1339,0.40407752990722656,0.8754554986953735,0.8871761187911034,5272000
66000,1339,0.010214106179773808,0.9826738238334656,0.8778316676616669,5280000
66100,1340,0.1573382169008255,0.9760226011276245,0.9224942177534103,5288000
66200,1340,0.018949050456285477,0.9555872678756714,0.7466568350791931,5296000
66300,1340,0.08479060232639313,1.0541965961456299,0.5771538317203522,5304000
66400,1340,0.07735444605350494,0.8817833662033081,0.5343571901321411,5312000
66500,1340,0.004042373970150948,0.9338119626045227,0.9025933146476746,5320000
66600,1340,0.15694090723991394,0.8596324920654297,0.23269391059875488,5328000
66700,1340,0.008147872984409332,0.9239295125007629,0.8759498372673988,5336000
66800,1340,0.05438573285937309,0.9297334551811218,0.5973631143569946,5344000
66900,1340,0.021902650594711304,0.9552457928657532,0.7105283737182617,5352000
67000,1340,0.01412152498960495,0.8435943722724915,0.6049768626689911,5360000
67100,1340,0.012527674436569214,0.809546172618866,0.6850708425045013,5368000
67200,1340,0.824127197265625,0.9444546699523926,-1.170140027999878,5376000
67300,1340,0.9515063166618347,0.9462233781814575,-2.2379305362701416,5384000
67400,1340,0.005438993684947491,0.9801651835441589,0.8587157875299454,5392000
67500,1340,0.04227133467793465,0.8681291341781616,0.5596222877502441,5400000
67600,1341,0.012485591694712639,0.9786737561225891,0.7428557872772217,5408000
67700,1341,0.0070425220765173435,0.9416489601135254,0.7906784564256668,5416000
67800,1341,0.07226726412773132,0.8981826901435852,0.4419187903404236,5424000
67900,1341,0.006866148207336664,0.967231273651123,0.7429741621017456,5432000
68000,1341,0.04264317825436592,0.8575557470321655,0.3601710796356201,5440000
68100,1341,0.013630622997879982,0.9188092947006226,0.9023629352450371,5448000
68200,1341,0.013880831189453602,1.0361231565475464,0.8648766875267029,5456000
68300,1341,0.017665093764662743,1.0315628051757812,0.8098471611738205,5464000
68400,1341,0.008812597952783108,0.9443410634994507,0.8654158264398575,5472000
68500,1341,0.10114546120166779,0.8731452226638794,0.6241746246814728,5480000
68600,1341,0.16022393107414246,0.9484874606132507,0.39034008979797363,5488000
68700,1341,0.05872078612446785,1.0162632465362549,0.5062185525894165,5496000
68800,1341,0.006285920739173889,0.9511994123458862,0.8631349802017212,5504000
68900,1341,0.01733371987938881,0.9682366251945496,0.9088840037584305,5512000
69000,1341,0.028807466849684715,1.0593370199203491,0.4850326180458069,5520000
69100,1341,0.018399180844426155,1.2171136140823364,-0.0619351863861084,5528000
69200,1341,0.01332499086856842,0.9699095487594604,0.5490254759788513,5536000
69300,1341,0.13320292532444,0.9053850173950195,0.8520623594522476,5544000
69400,1342,0.052439142018556595,0.9780871272087097,0.8108690679073334,5552000
69500,1342,0.016222838312387466,1.0395091772079468,0.70607128739357,5560000
69600,1342,0.095139279961586,0.9341516494750977,0.9771623574197292,5568000
69700,1342,0.008558454923331738,1.0104981660842896,0.8149294853210449,5576000
69800,1342,0.012441040948033333,0.9825634956359863,0.7939479351043701,5584000
69900,1342,0.016994068399071693,1.0018455982208252,0.2868942618370056,5592000
70000,1342,0.038148604333400726,0.9294519424438477,0.7968286275863647,5600000
70100,1342,0.09357071667909622,0.938361644744873,0.6061326563358307,5608000
70200,1342,0.12753444910049438,0.8214925527572632,0.4882161021232605,5616000
70300,1342,0.01828710176050663,1.0397427082061768,0.9014080539345741,5624000
