nupdates,total_timesteps,policy_loss,policy_entropy,explained_variance,fps,value_loss
2742,1754880,-0.07568707317113876,1.6189749240875244,0.9371050968766212,1152,0.007778887636959553
2743,1755520,-0.05024689808487892,1.6439625024795532,0.9431857988238335,1152,0.0070670717395842075
2744,1756160,-0.0010608071461319923,1.5803542137145996,0.9400111362338066,1152,0.005005753133445978
2745,1756800,-0.053379178047180176,1.617767095565796,0.9290943890810013,1152,0.005845126695930958
2746,1757440,-0.025773141533136368,1.5929572582244873,0.7319922745227814,1152,0.01772524230182171
2747,1758080,0.004895597696304321,1.606372594833374,0.6651970148086548,1152,0.02690943516790867
2748,1758720,-0.06807522475719452,1.6173429489135742,0.7961870282888412,1152,0.019290167838335037
2749,1759360,-0.05165214091539383,1.6149380207061768,0.8165015429258347,1152,0.015289941802620888
2750,1760000,-0.016170676797628403,1.5917221307754517,0.8778343349695206,1152,0.008689134381711483
2751,1760640,0.037964072078466415,1.5748565196990967,0.8277557343244553,1152,0.015933120623230934
2752,1761280,0.003803342580795288,1.6683387756347656,0.8576198518276215,1152,0.01402554102241993
2753,1761920,-0.028256740421056747,1.6064121723175049,0.8535807728767395,1152,0.013045701198279858
2754,1762560,-0.09898214042186737,1.596668004989624,0.7078407108783722,1152,0.043913982808589935
2755,1763200,-0.043751731514930725,1.5910097360610962,0.8439032584428787,1152,0.022683342918753624
2756,1763840,0.03788274526596069,1.619463562965393,0.7976226359605789,1152,0.023525595664978027
2757,1764480,0.08512866497039795,1.633246660232544,0.7303944528102875,1152,0.01999250426888466
2758,1765120,-0.03029777482151985,1.5795260667800903,0.8484582751989365,1152,0.012804962694644928
2759,1765760,-0.03230563551187515,1.604731559753418,0.9223241657018661,1152,0.00889558531343937
2760,1766400,0.042266666889190674,1.6519725322723389,0.8376585692167282,1152,0.00984026025980711
2761,1767040,-0.009222176857292652,1.6142017841339111,0.8204945027828217,1152,0.01632225140929222
2762,1767680,-0.06212794780731201,1.5785001516342163,0.7470593452453613,1152,0.0337621308863163
2763,1768320,-0.020656906068325043,1.640489935874939,0.6707766056060791,1152,0.027613122016191483
2764,1768960,-0.023695778101682663,1.6057113409042358,0.837124839425087,1152,0.01570749655365944
2765,1769600,0.04326485097408295,1.602670431137085,0.8972131237387657,1152,0.009917451068758965
2766,1770240,-0.012332599610090256,1.6182377338409424,0.9046313613653183,1152,0.010417049750685692
2767,1770880,-0.028954021632671356,1.6241674423217773,0.9178093671798706,1152,0.009447121992707253
2768,1771520,0.008138088509440422,1.622162103652954,0.9277488961815834,1152,0.0070843384601175785
2769,1772160,-0.0877118706703186,1.5872342586517334,0.8448884189128876,1152,0.0186089389026165
2770,1772800,-0.033568497747182846,1.5775213241577148,0.8915927782654762,1152,0.008990523405373096
2771,1773440,-0.04852741211652756,1.6289336681365967,0.9597095213830471,1152,0.0043806456960737705
2772,1774080,-0.04805763065814972,1.593147873878479,0.7716628611087799,1152,0.025069382041692734
2773,1774720,-0.010730240494012833,1.6148881912231445,0.7401654720306396,1152,0.022174032405018806
2774,1775360,-0.04182494059205055,1.606964349746704,0.8813897222280502,1152,0.01176239363849163
2775,1776000,-0.028850138187408447,1.5685908794403076,0.8475882411003113,1152,0.020413696765899658
2776,1776640,-0.010480424389243126,1.591389536857605,0.9141600281000137,1152,0.010881544090807438
2777,1777280,-0.007034937851130962,1.5883047580718994,0.8647983223199844,1152,0.01605842448771
2778,1777920,-0.016512177884578705,1.620487928390503,0.9073492810130119,1152,0.009265413507819176
2779,1778560,0.00828897301107645,1.5556449890136719,0.8932334706187248,1152,0.009320903569459915
2780,1779200,-0.004151836037635803,1.5963809490203857,0.8986292034387589,1152,0.008756959810853004
2781,1779840,-0.025139492005109787,1.568682312965393,0.8436280936002731,1152,0.017178554087877274
2782,1780480,0.012219130992889404,1.6260440349578857,0.9023700580000877,1152,0.010976133868098259
2783,1781120,-0.019012825563549995,1.5924956798553467,0.9214713424444199,1152,0.0072040436789393425
2784,1781760,-0.01987311616539955,1.5288643836975098,0.9318483248353004,1152,0.006800448056310415
2785,1782400,0.029178880155086517,1.6141172647476196,0.926312543451786,1152,0.005357163958251476
