nupdates,fps,value_loss,explained_variance,policy_entropy,total_timesteps
27700,1481,0.007917343638837337,0.7782459557056427,1.775559663772583,2216000
27800,1481,0.003377191023901105,0.9413524977862835,1.7824981212615967,2224000
27900,1481,0.00763587886467576,0.8968422561883926,1.7847042083740234,2232000
28000,1481,0.005582967307418585,0.9413037672638893,1.7817919254302979,2240000
28100,1481,0.0047056907787919044,0.9332089647650719,1.7825381755828857,2248000
28200,1481,0.010745097883045673,0.8466578125953674,1.7810413837432861,2256000
28300,1481,0.00274220434948802,0.9829295463860035,1.7779152393341064,2264000
28400,1480,0.010382024571299553,0.9257854372262955,1.768903374671936,2272000
28500,1480,0.009752674028277397,0.9090909287333488,1.7713003158569336,2280000
28600,1480,0.007851341739296913,0.9637685231864452,1.771781325340271,2288000
28700,1480,0.010654924437403679,0.9284335449337959,1.7818645238876343,2296000
28800,1480,0.01230608019977808,0.9117224514484406,1.7776129245758057,2304000
28900,1480,0.007596136536449194,0.938864454627037,1.7785844802856445,2312000
29000,1480,0.018445823341608047,0.7990239411592484,1.782335877418518,2320000
29100,1480,0.007280631922185421,0.8654725551605225,1.7805668115615845,2328000
29200,1480,0.0032435741741210222,0.9797697477042675,1.7757236957550049,2336000
29300,1480,0.018156707286834717,0.7973891496658325,1.777025580406189,2344000
29400,1480,0.01324271410703659,0.9124791845679283,1.780137062072754,2352000
29500,1480,0.009846141561865807,0.893411360681057,1.7645246982574463,2360000
29600,1480,0.005721522029489279,0.9708200618624687,1.7831487655639648,2368000
29700,1480,0.00614179577678442,0.9496506154537201,1.775456190109253,2376000
29800,1480,0.01563229411840439,0.779677078127861,1.773944616317749,2384000
29900,1480,0.0033892367500811815,0.9673018902540207,1.7687689065933228,2392000
30000,1480,0.0064554340206086636,0.9517325088381767,1.7805922031402588,2400000
30100,1479,0.010815674439072609,0.886153057217598,1.768960952758789,2408000
30200,1479,0.022062432020902634,0.8271878063678741,1.7548795938491821,2416000
30300,1479,0.016785115003585815,0.8291328102350235,1.774765968322754,2424000
30400,1479,0.008951861411333084,0.895312026143074,1.7862545251846313,2432000
30500,1479,0.016599640250205994,0.6694546639919281,1.776883840560913,2440000
30600,1479,0.016523506492376328,0.8530295044183731,1.7794620990753174,2448000
30700,1479,0.02064056694507599,0.8302664905786514,1.7847363948822021,2456000
30800,1479,0.013466134667396545,0.8608213663101196,1.7807929515838623,2464000
30900,1479,0.001998654566705227,0.9706227276474237,1.767054796218872,2472000
31000,1479,0.016665946692228317,0.9038963839411736,1.777627944946289,2480000
31100,1479,0.012416757643222809,0.8722014427185059,1.7668282985687256,2488000
31200,1479,0.013239791616797447,0.8895013332366943,1.7748037576675415,2496000
31300,1479,0.014214028604328632,0.8453876078128815,1.7701311111450195,2504000
31400,1479,0.023435670882463455,0.8209197372198105,1.787941336631775,2512000
31500,1479,0.015011166222393513,0.5909841954708099,1.773375153541565,2520000
31600,1479,0.007354549132287502,0.8704913407564163,1.773985505104065,2528000
31700,1479,0.005714274011552334,0.952810101211071,1.7752206325531006,2536000
31800,1479,0.010759884491562843,0.7953500151634216,1.781275987625122,2544000
31900,1479,0.0041213505901396275,0.9068768247961998,1.7755874395370483,2552000
32000,1479,0.020864315330982208,0.7569029033184052,1.77876877784729,2560000
32100,1478,0.015384162776172161,0.823064312338829,1.7796748876571655,2568000
32200,1478,0.010101578198373318,0.8736812174320221,1.7774903774261475,2576000
32300,1478,0.013600808568298817,0.8486142456531525,1.7770086526870728,2584000
32400,1478,0.00903291068971157,0.943704679608345,1.7725569009780884,2592000
32500,1478,0.013506310060620308,0.8158066123723984,1.7832119464874268,2600000
32600,1478,0.005633491091430187,0.9118675738573074,1.7763488292694092,2608000
32700,1478,0.012313617393374443,0.8663875460624695,1.7730716466903687,2616000
32800,1478,0.014649346470832825,0.8512638509273529,1.7705059051513672,2624000
32900,1478,0.011792696081101894,0.904071994125843,1.77762770652771,2632000
33000,1478,0.016833584755659103,0.7838121056556702,1.7769008874893188,2640000
33100,1478,0.004130876623094082,0.9193628802895546,1.7706435918807983,2648000
33200,1478,0.017973976209759712,0.7744091004133224,1.7612937688827515,2656000
33300,1478,0.007217188831418753,0.9119461476802826,1.7678301334381104,2664000
33400,1478,0.007466050796210766,0.9019217267632484,1.7756633758544922,2672000
33500,1478,0.012608477845788002,0.6442224979400635,1.7657588720321655,2680000
33600,1478,0.009496626444160938,0.8974101543426514,1.77823805809021,2688000
33700,1478,0.024994071573019028,0.6849400997161865,1.7620365619659424,2696000
33800,1478,0.0034861615858972073,0.977004449814558,1.7617428302764893,2704000
33900,1478,0.010380650870501995,0.9030005186796188,1.7625157833099365,2712000
34000,1478,0.00852277409285307,0.9274483174085617,1.7541835308074951,2720000
34100,1478,0.010196981020271778,0.8605728894472122,1.7368106842041016,2728000
34200,1478,0.00408911844715476,0.9527935534715652,1.7785661220550537,2736000
34300,1478,0.009615465067327023,0.7862953841686249,1.7627670764923096,2744000
34400,1478,0.0061515262350440025,0.852585107088089,1.772367238998413,2752000
34500,1478,0.012513341382145882,0.8782373145222664,1.7569580078125,2760000
34600,1478,0.03456564247608185,0.6316763758659363,1.7777578830718994,2768000
34700,1478,0.007973946630954742,0.8421571850776672,1.7634732723236084,2776000
34800,1478,0.008115088567137718,0.9011171609163284,1.7714786529541016,2784000
34900,1478,0.018642285838723183,0.7856485396623611,1.766627311706543,2792000
35000,1477,0.0065363189205527306,0.9513465240597725,1.7331056594848633,2800000
35100,1477,0.017555223777890205,0.6644825339317322,1.761618971824646,2808000
35200,1477,0.00721766659989953,0.9556889049708843,1.7690041065216064,2816000
35300,1477,0.005123130511492491,0.9535396546125412,1.7586719989776611,2824000
35400,1477,0.007891641929745674,0.8627114444971085,1.7693579196929932,2832000
35500,1477,0.004573275800794363,0.9517813175916672,1.7670608758926392,2840000
35600,1477,0.016004856675863266,0.7598653435707092,1.7642822265625,2848000
35700,1477,0.011070405133068562,0.9034270495176315,1.7691138982772827,2856000
35800,1477,0.039670463651418686,0.7454795837402344,1.7717233896255493,2864000
35900,1477,0.006067025009542704,0.9422241672873497,1.7600469589233398,2872000
36000,1477,0.010584264062345028,0.9073059111833572,1.7660547494888306,2880000
36100,1477,0.009018247947096825,0.8707217276096344,1.7720081806182861,2888000
36200,1477,0.014177368953824043,0.7284014523029327,1.7319920063018799,2896000
36300,1477,0.01926892064511776,0.6205933690071106,1.7287218570709229,2904000
36400,1477,0.015327918343245983,0.9085203409194946,1.7682287693023682,2912000
36500,1477,0.017154525965452194,0.6772630214691162,1.755313515663147,2920000
36600,1477,0.013596093282103539,0.9026450514793396,1.740941047668457,2928000
36700,1477,0.015315140597522259,0.917203463613987,1.7726008892059326,2936000
36800,1477,0.018176782876253128,0.8517653197050095,1.6738964319229126,2944000
36900,1477,0.012832040898501873,0.7702454030513763,1.7552268505096436,2952000
