explained_variance,total_timesteps,policy_entropy,fps,nupdates,value_loss,policy_loss
0.9154464229941368,6680320,0.6755005121231079,1091,10438,0.428398460149765,0.07215547561645508
0.971518823876977,6680960,0.6341506838798523,1091,10439,0.12780027091503143,-0.004986089654266834
0.9806558340787888,6681600,0.6860001683235168,1091,10440,0.0794968456029892,0.034371666610240936
0.958570521324873,6682240,0.6334058046340942,1091,10441,0.13122320175170898,0.017789412289857864
0.9280118644237518,6682880,0.6556711196899414,1091,10442,0.2017330825328827,-0.07521454244852066
0.8318614214658737,6683520,0.6685253381729126,1091,10443,0.4318080544471741,-0.15387944877147675
0.968327309936285,6684160,0.6552443504333496,1091,10444,0.07152695208787918,0.02311382256448269
0.841589480638504,6684800,0.7032812833786011,1091,10445,0.3527713418006897,-0.1258264034986496
0.9730277918279171,6685440,0.6676799058914185,1091,10446,0.06683043390512466,-0.06512472033500671
0.9546228870749474,6686080,0.6753911375999451,1091,10447,0.12723004817962646,-0.020070958882570267
0.9310177564620972,6686720,0.6738458871841431,1091,10448,0.15096336603164673,-0.08929672092199326
0.9047584533691406,6687360,0.6851636171340942,1091,10449,0.30385875701904297,0.08340887725353241
0.908023476600647,6688000,0.6738053560256958,1091,10450,0.25240015983581543,-0.0522177517414093
0.9680979736149311,6688640,0.6576728820800781,1091,10451,0.08296533674001694,-0.015189716592431068
0.9468632936477661,6689280,0.6790040135383606,1091,10452,0.1325235366821289,0.0626082569360733
0.941230159252882,6689920,0.634199857711792,1091,10453,0.09716619551181793,-0.04357830807566643
0.9463366530835629,6690560,0.6880886554718018,1091,10454,0.1122199073433876,0.06159556657075882
0.9118064716458321,6691200,0.6935852766036987,1091,10455,0.1645250916481018,-0.007016317453235388
0.89163738489151,6691840,0.6576967835426331,1091,10456,0.2134793996810913,-0.041015081107616425
0.9560088850557804,6692480,0.6598566770553589,1091,10457,0.10235251486301422,0.0219251848757267
0.9756804071366787,6693120,0.6670202016830444,1091,10458,0.0523572638630867,0.01515127718448639
0.9544207938015461,6693760,0.6831567883491516,1091,10459,0.0932466983795166,0.005878886207938194
0.9605987071990967,6694400,0.6674447059631348,1091,10460,0.08522233366966248,0.06322139501571655
0.8819757476449013,6695040,0.6480730772018433,1091,10461,0.27739471197128296,0.0003082691691815853
0.9832606129348278,6695680,0.6488469839096069,1091,10462,0.034570641815662384,-0.022616351023316383
0.9823704827576876,6696320,0.6919807195663452,1091,10463,0.04139619320631027,0.02212649956345558
0.9478914253413677,6696960,0.6795727014541626,1091,10464,0.12333667278289795,0.009577875956892967
0.9856034563854337,6697600,0.6553360223770142,1091,10465,0.03896159678697586,-0.051957711577415466
0.9323393255472183,6698240,0.6625967621803284,1091,10466,0.18849579989910126,-0.0689656212925911
0.9814815521240234,6698880,0.6494746208190918,1091,10467,0.054727137088775635,-0.04476619511842728
0.9753223303705454,6699520,0.6634694933891296,1091,10468,0.07390527427196503,-0.04080301895737648
0.9762409497052431,6700160,0.6735044717788696,1091,10469,0.07044140994548798,-0.013100966811180115
0.9820705465972424,6700800,0.6406921148300171,1091,10470,0.05007452890276909,-0.036271579563617706
0.9814094305038452,6701440,0.6550520658493042,1091,10471,0.052866917103528976,0.01857925020158291
0.9735710863023996,6702080,0.6718720197677612,1091,10472,0.07476742565631866,-0.019216978922486305
